Code,Name,Geography,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
K02000001,UNITED KINGDOM,Country,69281437,667994,690113,732532,728400,755117,769993,779267,797192,819098,813307,816457,835063,854833,854532,843967,838259,845961,817099,806916,818350,821170,818799,823027,839316,863943,892223,905498,923421,909004,918824,940405,941624,965013,976481,973104,965382,974673,952137,944946,938632,908350,907303,899769,906682,907018,868755,806022,790242,806960,821405,831075,862822,894577,927472,904147,924411,921696,925871,920651,924094,910372,888080,863911,830550,795464,772753,748741,713842,683935,653386,648219,632318,606812,604393,605012,611491,634565,673831,505224,476740,461977,414914,357410,305273,300816,281337,256103,224742,195365,167231,625236
K03000001,GREAT BRITAIN,Country,67353582,648105,669724,710426,706322,732313,746520,755411,772753,793849,788085,791355,809512,828579,828178,818094,812216,819892,792314,783071,795462,799077,798186,803056,819014,843286,869727,882244,899681,885900,895529,916617,917652,940263,951378,947386,939737,948577,925868,918427,912425,882699,881753,874414,881244,880818,843722,782421,767347,783665,798283,807059,838005,869587,901787,878640,898531,895567,899912,894588,897871,884768,863209,839722,806535,772752,750893,727297,693519,664166,635062,630417,614857,590461,588088,589151,596106,619480,658804,491907,463952,449800,403452,347774,296936,293200,274184,249746,219033,190506,163096,610585
K04000001,ENGLAND AND WALES,Country,61806682,601329,622020,660624,656038,680640,692020,701206,716976,735470,729196,731966,748974,766611,765782,755622,750135,757454,731972,722638,734584,734370,729813,734770,747236,767919,796919,811490,828149,815612,825868,844937,845544,866055,875619,873675,866146,873611,853665,845863,839735,812004,810700,803664,809857,811348,775640,719973,705899,718916,732997,740377,768140,796062,824659,801895,819206,815099,819318,814684,815392,802979,782730,762220,731561,699513,679055,657246,627124,599969,573799,571304,557391,536072,534102,536427,542659,565829,602734,450851,426602,413064,369527,318021,271613,268602,251783,229508,201631,175142,149932,563609
E92000001,ENGLAND,Country,58620101,573812,593575,630059,625948,648849,659421,667251,682421,699257,693374,695901,712018,728659,727289,717865,712549,719178,695590,686352,695486,695274,691406,697351,710646,731341,759095,773516,788460,777372,787128,805239,805672,824590,833482,832161,824692,831419,812545,805362,799440,773610,772141,765546,771457,772526,738963,686219,672429,684749,697407,703813,729388,754938,780892,759767,775106,771539,774808,770180,769707,757491,738322,718569,689549,658848,639143,618514,589882,564430,539673,536645,523049,503524,501510,503580,509713,531492,567237,424408,401145,388753,347609,298656,255001,253116,237616,216590,190245,165268,141650,532643
E12000001,NORTH EAST,Region,2760678,25050,25791,27324,27213,27955,29149,29620,30653,31423,30987,31457,32358,32775,32979,32371,31620,32510,31475,32083,36678,37842,37975,34189,32290,31852,32520,33187,34516,33849,34795,35286,35659,37038,36990,36374,36116,36956,36464,36620,35854,34511,34080,33630,33839,34098,32958,29398,28020,29870,30456,30789,32683,35346,37313,35441,36228,37117,37882,38374,38901,38431,38350,37977,36241,35118,35100,34368,32790,31456,29888,29403,28779,27356,26974,26890,27031,27924,29633,21486,20097,18870,16203,14435,12824,12644,11779,10802,9621,7940,7000,24491
E06000047,County Durham,Unitary Authority,538011,4708,4579,4876,4881,5141,5213,5372,5469,5822,5746,5947,6055,6115,6203,6191,5903,6182,6029,6277,8605,9061,9761,7290,5917,5500,5710,5666,5972,5893,5973,6007,6247,6468,6635,6444,6456,6618,6513,6635,6449,6288,6429,6374,6413,6368,6357,5674,5420,5705,5919,6048,6758,7248,7689,7238,7686,7839,8010,8062,8188,8024,7845,7815,7382,6965,7189,6866,6541,6336,6198,5997,5913,5588,5660,5514,5662,5685,6059,4486,4288,4115,3411,2928,2706,2550,2330,2136,1971,1642,1376,4591
E06000005,Darlington,Unitary Authority,112489,1056,1042,1129,1134,1188,1196,1221,1191,1273,1302,1336,1362,1414,1384,1398,1414,1391,1340,1273,1022,848,945,1006,1044,1220,1332,1406,1420,1429,1363,1443,1474,1503,1609,1473,1506,1605,1444,1501,1399,1429,1405,1414,1431,1422,1457,1344,1236,1294,1332,1389,1405,1534,1579,1547,1535,1553,1559,1611,1628,1531,1580,1541,1518,1382,1412,1376,1305,1268,1193,1160,1167,1098,1063,1069,1143,1127,1264,930,887,762,678,605,574,568,528,460,404,340,318,1098
E06000001,Hartlepool,Unitary Authority,98180,947,988,1046,1045,1117,1154,1104,1194,1227,1148,1254,1245,1258,1282,1269,1266,1327,1219,1207,1039,1068,921,989,1154,1194,1258,1089,1223,1139,1287,1241,1216,1360,1333,1247,1271,1332,1325,1259,1264,1221,1121,1191,1147,1134,1092,1033,1000,1057,1017,1043,1184,1266,1360,1289,1286,1370,1422,1427,1451,1396,1453,1423,1406,1237,1329,1142,1194,1090,1057,947,997,996,899,971,948,949,988,690,635,574,458,477,414,434,388,389,332,239,262,849
E06000002,Middlesbrough,Unitary Authority,156161,1881,1900,1950,1850,1873,1946,1973,2138,1950,2064,2013,2154,2089,2116,2053,1812,1951,1904,1913,1925,1920,1870,1988,2198,2328,2288,2586,2618,2639,2591,2584,2595,2612,2369,2436,2400,2340,2400,2336,2197,2191,2012,1859,1876,1867,1749,1496,1427,1519,1537,1502,1605,1609,1721,1672,1626,1786,1744,1817,1826,1823,1821,1886,1758,1701,1681,1691,1641,1502,1453,1311,1353,1238,1215,1163,1124,1138,1275,883,844,745,685,680,568,530,503,489,399,367,324,1179
E06000057,Northumberland,Unitary Authority,331420,2531,2672,2735,2922,2893,3088,3258,3309,3419,3397,3526,3585,3722,3714,3594,3529,3712,3450,3411,2687,2360,2615,2776,3027,3140,3205,3367,3162,3293,3397,3459,3467,3676,3698,3665,3623,3837,3811,3735,3924,3687,3703,3740,3702,3960,3848,3407,3373,3645,3819,3925,4147,4546,4806,4544,4720,4932,5077,5170,5450,5417,5356,5398,5159,5300,5113,4994,4865,4771,4538,4489,4417,4242,4186,4194,4198,4572,4702,3400,3210,3030,2647,2230,1937,1894,1714,1543,1430,1197,1047,3638
